# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COGID
45	Hnd	ash(es)	rākh	21
#
46	Rus	bark	kora	22
47	Itn	bark	corteccia	22
48	Lat	bark	cortex	22
49	Lit	bark	žievė	23
50	oIs	bark	borkr	24
51	Bkm	bark	bark	24
52	oIr	bark	[rúsc]	25
53	rIr	bark	[rúsc]	25
54	Rus	bark	(SHr,R lub)	26
55	Lit	bark	(lúoba?)	26
56	Alb	bark	lëvozhgë	26
57	aGr	bark	φλοιός	27
58	rGr	bark	φλουδα	27
59	Arm	bark	[keġev]	28
60	Hit	bark	G	29
61	ToB	bark	B enmetre	30
62	Ave	bark	G	31
63	San	bark	valká	32
64	Itn	bark	(scorza)	33
65	San	bark	(challi )	33
66	Hnd	bark	chāl	33
#
67	Itn	belly	?ventre	34
68	Lat	belly	venter	34
69	Ave	belly	udar-	34
70	San	belly	udára-	34
71	Rus	belly	Брюшко	35
72	oIr	belly	brú	35
73	Lit	belly	pilvas	36
74	oIs	belly	kviðr	37
75	ToB	belly	Bkātso	37
76	Bkm	belly	buk	38
77	Itn	belly	(? pancia )	38
78	Lat	belly	< (pantex)	38
79	oIs	belly	(belgr)	39
80	rIr	belly	bolg	39
81	Alb	belly	barku	40
82	aGr	belly	γαστήρ	41
83	rGr	belly	κοιλιά	42
84	Arm	belly	[p’or]	43
85	Hit	belly	[sarḫuwant]	44
86	San	belly	(kukṣí)	45
87	Hnd	belly	kukṣi	45
88	Rus	belly	(живот)	46
89	Rus	belly	(aбдомен)	47
90	Itn	belly	(addome)	47
91	Lat	belly	(abdomen)	47
#
92	oIr	big	mor	48
93	rIr	big	mór	48
94	Lat	big	magnus	48
95	Alb	big	madhe	48
96	aGr	big	μέγας	48
97	rGr	big	μεγάλος	48
98	Arm	big	meç	48
99	ToB	big	(māk(a)	48
100	Ave	big	maz-a	48
101	San	big	mah-ā́nt	48
102	Rus	big	большой	49
103	Lit	big	[dìdelis]	50
104	Lit	big	(stóras)	51
105	oIs	big	stórr	51
106	Bkm	big	stor	51
107	Itn	big	grande	52
108	Lat	big	(solidus, salvus)	53
109	aGr	big	(ὅλος?)	53
110	Hit	big	[salli] (?)	53
111	ToB	big	B orotstse	54
112	San	big	(vaḍra-)	55
113	Hnd	big	baṛā	55
#
114	Itn	bird	uccello	56
115	Lat	bird	avis	56
116	Alb	bird	(vido ‘Taube’)	56
117	aGr	bird	(αἰετός ‘Adler’)	56
118	Arm	bird	(hav)	56
119	Hit	bird	suwai- (hapax)?	56
120	Ave	bird	vaii, vīš	56
121	San	bird	véṣ, váy, ví-	56
122	oIr	bird	Lu en	57
123	rIr	bird	éan	57
124	aGr	bird	(πέτομαιι)	57
125	Arm	bird	ewS tʽṙčʽun	57
126	Rus	bird	птица	58
127	Lit	bird	paũkštis	58
128	oIs	bird	fugl ?	59
129	Bkm	bird	fugl ?	59
130	Alb	bird	zogu	60
131	aGr	bird	ὄρνις	61
132	aGr	bird	(πώλος)	62
133	rGr	bird	[πουλί]	62
134	Hit	bird	wattei	63
135	ToB	bird	[ṣalamo luwo]	64
136	San	bird	(pakṣin)	65
137	Hnd	bird	pakṣī	65
138	Rus	bird	(орьлъ ‘Adler’)	66
139	Lit	bird	(erelis ‘Adler)	66
140	oIr	bird	(irar ‘eagle’)	66
141	Arm	bird	(oror)	66
142	Hit	bird	(ḫāras)	66
#
143	aGr	bite (v)	δάκνω	67
144	rGr	bite (v)	δαγκώνω	67
145	ToB	bite (v)	tsāk-B ?	67
146	Ave	bite (v)	(jAv:dạs)	67
147	San	bite (v)	daṁs	67
148	Rus	bite (v)	кусать	68
149	Lit	bite (v)	(į)kąsti	68
150	oIs	bite (v)	bita	69
151	Bkm	bite (v)	bite	69
152	oIr	bite (v)	(cnaïd?)	70
153	rIr	bite (v)	báin gréim	71
154	Itn	bite (v)	mordere	72
155	Lat	bite (v)	mordēre	72
156	Alb	bite (v)	[kafshoj]L	73
157	Arm	bite (v)	[kçel]	74
158	Hit	bite (v)	wāk- I	75
159	ToB	bite (v)	([kāpar])	75
160	San	bite (v)	(khād >)	76
161	Hnd	bite (v)	kat	76
#
162	Rus	black	чёрный	77
163	Lit	black	(oPr:kirsnan)	77
164	San	black	kr̥ṣṇá	77
165	Lit	black	[júodas]	78
