ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Russian-9_allofano-1-1,Russian-9_allofano-1,все,1,false,expert,Holm2017,,,
Lithuanian-9_allofano-1-1,Lithuanian-9_allofano-1,vìsa-,1,false,expert,Holm2017,,,
OldIrish-9_allofano-1-1,OldIrish-9_allofano-1,-,1,false,expert,Holm2017,,,
ModernIrish-9_allofano-1-1,ModernIrish-9_allofano-1,-,1,false,expert,Holm2017,,,
Avestan-9_allofano-1-1,Avestan-9_allofano-1,višpa-,1,false,expert,Holm2017,,,
VedicSanskrit-9_allofano-1-1,VedicSanskrit-9_allofano-1,viśva,1,false,expert,Holm2017,,,
OldIcelandic-9_allofano-1-1,OldIcelandic-9_allofano-1,allir,2,false,expert,Holm2017,,,
Bokmal-9_allofano-1-1,Bokmal-9_allofano-1,alle,2,false,expert,Holm2017,,,
OldIrish-9_allofano-2-1,OldIrish-9_allofano-2,uile,2,false,expert,Holm2017,,,
ModernIrish-9_allofano-2-1,ModernIrish-9_allofano-2,uile,2,false,expert,Holm2017,,,
Latin-9_allofano-1-1,Latin-9_allofano-1,(ultra),2,false,expert,Holm2017,,,
AncientGreek-9_allofano-1-1,AncientGreek-9_allofano-1,(ὅλος),2,false,expert,Holm2017,,,
ModernGreek-9_allofano-1-1,ModernGreek-9_allofano-1,όλος,2,false,expert,Holm2017,,,
TocharianB-9_allofano-1-1,TocharianB-9_allofano-1,(salu),2,false,expert,Holm2017,,,
Avestan-9_allofano-2-1,Avestan-9_allofano-2,(haurva),2,false,expert,Holm2017,,,
VedicSanskrit-9_allofano-2-1,VedicSanskrit-9_allofano-2,(sárva),2,false,expert,Holm2017,,,
Italian-9_allofano-1-1,Italian-9_allofano-1,tutti,3,false,expert,Holm2017,,,
Latin-9_allofano-2-1,Latin-9_allofano-2,(totus),3,false,expert,Holm2017,,,
Latin-9_allofano-3-1,Latin-9_allofano-3,omnēs,4,false,expert,Holm2017,,,
Hindi-9_allofano-1-1,Hindi-9_allofano-1,(sab),4,false,expert,Holm2017,,,
Albanian-9_allofano-1-1,Albanian-9_allofano-1,gjithë,5,false,expert,Holm2017,,,
AncientGreek-9_allofano-2-1,AncientGreek-9_allofano-2,"(ἅ)πας,__πάν-τες",6,false,expert,Holm2017,,,
TocharianB-9_allofano-2-1,TocharianB-9_allofano-2,po(ñc),6,false,expert,Holm2017,,,
ModernArmenian-9_allofano-1-1,ModernArmenian-9_allofano-1,bolor,7,false,expert,Holm2017,,,
Hittite-9_allofano-1-1,Hittite-9_allofano-1,[ḫūmant],8,false,expert,Holm2017,,,
Hindi-9_allofano-2-1,Hindi-9_allofano-2,sārā,9,false,expert,Holm2017,,,
OldIcelandic-83_ashes-1-1,OldIcelandic-83_ashes-1,aska,10,false,expert,Holm2017,,,
Bokmal-83_ashes-1-1,Bokmal-83_ashes-1,aske,10,false,expert,Holm2017,,,
ModernArmenian-83_ashes-1-1,ModernArmenian-83_ashes-1,(ačiun?),10,false,expert,Holm2017,,,
Hittite-83_ashes-1-1,Hittite-83_ashes-1,ḫāss-,10,false,expert,Holm2017,,,
VedicSanskrit-83_ashes-1-1,VedicSanskrit-83_ashes-1,ā́sa,10,false,expert,Holm2017,,,
Italian-83_ashes-1-1,Italian-83_ashes-1,ceneri,11,false,expert,Holm2017,,,
Latin-83_ashes-1-1,Latin-83_ashes-1,cinis,11,false,expert,Holm2017,,,
AncientGreek-83_ashes-1-1,AncientGreek-83_ashes-1,"(κόνις_‘dust,_ashes’)",11,false,expert,Holm2017,,,
Russian-83_ashes-1-1,Russian-83_ashes-1,золá,12,false,expert,Holm2017,,,
TocharianB-83_ashes-1-1,TocharianB-83_ashes-1,-,12,false,expert,Holm2017,,,
Russian-83_ashes-2-1,Russian-83_ashes-2,(пепел),13,false,expert,Holm2017,,,
Lithuanian-83_ashes-1-1,Lithuanian-83_ashes-1,pelenaĩ,13,false,expert,Holm2017,,,
OldIrish-83_ashes-1-1,OldIrish-83_ashes-1,lúaith,14,false,expert,Holm2017,,,
ModernIrish-83_ashes-1-1,ModernIrish-83_ashes-1,lúaith,14,false,expert,Holm2017,,,
Albanian-83_ashes-1-1,Albanian-83_ashes-1,hi(ri),15,false,expert,Holm2017,,,
AncientGreek-83_ashes-2-1,AncientGreek-83_ashes-2,τέφρα,16,false,expert,Holm2017,,,
ModernGreek-83_ashes-1-1,ModernGreek-83_ashes-1,στάχτη,17,false,expert,Holm2017,,,
ModernArmenian-83_ashes-2-1,ModernArmenian-83_ashes-2,moxir,18,false,expert,Holm2017,,,
TocharianB-83_ashes-2-1,TocharianB-83_ashes-2,AB_taur__(L?),19,false,expert,Holm2017,,,
Avestan-83_ashes-1-1,Avestan-83_ashes-1,ātriiəm,20,false,expert,Holm2017,,,
VedicSanskrit-83_ashes-2-1,VedicSanskrit-83_ashes-2,(bhásman),21,false,expert,Holm2017,,,
Hindi-83_ashes-1-1,Hindi-83_ashes-1,rākh,21,false,expert,Holm2017,,,
Russian-27_bark-1-1,Russian-27_bark-1,kora,22,false,expert,Holm2017,,,
Italian-27_bark-1-1,Italian-27_bark-1,corteccia,22,false,expert,Holm2017,,,
Latin-27_bark-1-1,Latin-27_bark-1,cortex,22,false,expert,Holm2017,,,
Lithuanian-27_bark-1-1,Lithuanian-27_bark-1,žievė,23,false,expert,Holm2017,,,
OldIcelandic-27_bark-1-1,OldIcelandic-27_bark-1,borkr,24,false,expert,Holm2017,,,
Bokmal-27_bark-1-1,Bokmal-27_bark-1,bark,24,false,expert,Holm2017,,,
OldIrish-27_bark-1-1,OldIrish-27_bark-1,[rúsc],25,false,expert,Holm2017,,,
ModernIrish-27_bark-1-1,ModernIrish-27_bark-1,[rúsc],25,false,expert,Holm2017,,,
Russian-27_bark-2-1,Russian-27_bark-2,"(SHr,R_lub)",26,false,expert,Holm2017,,,
Lithuanian-27_bark-2-1,Lithuanian-27_bark-2,(lúoba?),26,false,expert,Holm2017,,,
Albanian-27_bark-1-1,Albanian-27_bark-1,lëvozhgë,26,false,expert,Holm2017,,,
AncientGreek-27_bark-1-1,AncientGreek-27_bark-1,φλοιός,27,false,expert,Holm2017,,,
ModernGreek-27_bark-1-1,ModernGreek-27_bark-1,φλουδα,27,false,expert,Holm2017,,,
ModernArmenian-27_bark-1-1,ModernArmenian-27_bark-1,[keġev],28,false,expert,Holm2017,,,
Hittite-27_bark-1-1,Hittite-27_bark-1,G,29,false,expert,Holm2017,,,
TocharianB-27_bark-1-1,TocharianB-27_bark-1,B_enmetre,30,false,expert,Holm2017,,,
Avestan-27_bark-1-1,Avestan-27_bark-1,G,31,false,expert,Holm2017,,,
VedicSanskrit-27_bark-1-1,VedicSanskrit-27_bark-1,valká,32,false,expert,Holm2017,,,
Italian-27_bark-2-1,Italian-27_bark-2,(scorza),33,false,expert,Holm2017,,,
VedicSanskrit-27_bark-2-1,VedicSanskrit-27_bark-2,(challi_),33,false,expert,Holm2017,,,
Hindi-27_bark-1-1,Hindi-27_bark-1,chāl,33,false,expert,Holm2017,,,
Italian-49_belly-1-1,Italian-49_belly-1,?ventre,34,false,expert,Holm2017,,,
Latin-49_belly-1-1,Latin-49_belly-1,venter,34,false,expert,Holm2017,,,
Avestan-49_belly-1-1,Avestan-49_belly-1,udar-,34,false,expert,Holm2017,,,
VedicSanskrit-49_belly-1-1,VedicSanskrit-49_belly-1,udára-,34,false,expert,Holm2017,,,
Russian-49_belly-1-1,Russian-49_belly-1,Брюшко,35,false,expert,Holm2017,,,
OldIrish-49_belly-1-1,OldIrish-49_belly-1,brú,35,false,expert,Holm2017,,,
