ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Russian-9_allofano-1,,Russian,9_allofano,все/ё,все,,,Holm2017,,,,
Lithuanian-9_allofano-1,,Lithuanian,9_allofano,vìsa-,vìsa-,,,Holm2017,,,,
OldIrish-9_allofano-1,,OldIrish,9_allofano,-,-,,,Holm2017,,,,
ModernIrish-9_allofano-1,,ModernIrish,9_allofano,-,-,,,Holm2017,,,,
Avestan-9_allofano-1,,Avestan,9_allofano,višpa-,višpa-,,,Holm2017,,,,
VedicSanskrit-9_allofano-1,,VedicSanskrit,9_allofano,viśva,viśva,,,Holm2017,,,,
OldIcelandic-9_allofano-1,,OldIcelandic,9_allofano,allir,allir,,,Holm2017,,,,
Bokmal-9_allofano-1,,Bokmal,9_allofano,alle,alle,,,Holm2017,,,,
OldIrish-9_allofano-2,,OldIrish,9_allofano,uile,uile,,,Holm2017,,,,
ModernIrish-9_allofano-2,,ModernIrish,9_allofano,uile,uile,,,Holm2017,,,,
Latin-9_allofano-1,,Latin,9_allofano,(ultra),(ultra),,,Holm2017,,,,
AncientGreek-9_allofano-1,,AncientGreek,9_allofano,(ὅλος),(ὅλος),,,Holm2017,,,,
ModernGreek-9_allofano-1,,ModernGreek,9_allofano,όλος,όλος,,,Holm2017,,,,
TocharianB-9_allofano-1,,TocharianB,9_allofano,(salu),(salu),,,Holm2017,,,,
Avestan-9_allofano-2,,Avestan,9_allofano,(haurva),(haurva),,,Holm2017,,,,
VedicSanskrit-9_allofano-2,,VedicSanskrit,9_allofano,(sárva),(sárva),,,Holm2017,,,,
Italian-9_allofano-1,,Italian,9_allofano,tutti,tutti,,,Holm2017,,,,
Latin-9_allofano-2,,Latin,9_allofano,(totus),(totus),,,Holm2017,,,,
Latin-9_allofano-3,,Latin,9_allofano,omnēs,omnēs,,,Holm2017,,,,
Hindi-9_allofano-1,,Hindi,9_allofano,(sab),(sab),,,Holm2017,,,,
Albanian-9_allofano-1,,Albanian,9_allofano,gjithë,gjithë,,,Holm2017,,,,
AncientGreek-9_allofano-2,,AncientGreek,9_allofano,"(ἅ)πας,  πάν-τες","(ἅ)πας,__πάν-τες",,,Holm2017,,,,
TocharianB-9_allofano-2,,TocharianB,9_allofano,po(ñc),po(ñc),,,Holm2017,,,,
ModernArmenian-9_allofano-1,,ModernArmenian,9_allofano,bolor,bolor,,,Holm2017,,,,
Hittite-9_allofano-1,,Hittite,9_allofano,[ḫūmant],[ḫūmant],,,Holm2017,,,,
Hindi-9_allofano-2,,Hindi,9_allofano,sārā,sārā,,,Holm2017,,,,
OldIcelandic-83_ashes-1,,OldIcelandic,83_ashes,aska,aska,,,Holm2017,,,,
Bokmal-83_ashes-1,,Bokmal,83_ashes,aske,aske,,,Holm2017,,,,
ModernArmenian-83_ashes-1,,ModernArmenian,83_ashes,(ačiun?),(ačiun?),,,Holm2017,,,,
Hittite-83_ashes-1,,Hittite,83_ashes,ḫāss-,ḫāss-,,,Holm2017,,,,
VedicSanskrit-83_ashes-1,,VedicSanskrit,83_ashes,ā́sa,ā́sa,,,Holm2017,,,,
Italian-83_ashes-1,,Italian,83_ashes,ceneri,ceneri,,,Holm2017,,,,
Latin-83_ashes-1,,Latin,83_ashes,cinis,cinis,,,Holm2017,,,,
AncientGreek-83_ashes-1,,AncientGreek,83_ashes,"(κόνις ‘dust, ashes’)","(κόνις_‘dust,_ashes’)",,,Holm2017,,,,
Russian-83_ashes-1,,Russian,83_ashes,золá,золá,,,Holm2017,,,,
TocharianB-83_ashes-1,,TocharianB,83_ashes,-,-,,,Holm2017,,,,
Russian-83_ashes-2,,Russian,83_ashes,(пепел),(пепел),,,Holm2017,,,,
Lithuanian-83_ashes-1,,Lithuanian,83_ashes,pelenaĩ,pelenaĩ,,,Holm2017,,,,
OldIrish-83_ashes-1,,OldIrish,83_ashes,lúaith,lúaith,,,Holm2017,,,,
ModernIrish-83_ashes-1,,ModernIrish,83_ashes,lúaith,lúaith,,,Holm2017,,,,
Albanian-83_ashes-1,,Albanian,83_ashes,hi(ri),hi(ri),,,Holm2017,,,,
AncientGreek-83_ashes-2,,AncientGreek,83_ashes,τέφρα,τέφρα,,,Holm2017,,,,
ModernGreek-83_ashes-1,,ModernGreek,83_ashes,στάχτη,στάχτη,,,Holm2017,,,,
ModernArmenian-83_ashes-2,,ModernArmenian,83_ashes,moxir,moxir,,,Holm2017,,,,
TocharianB-83_ashes-2,,TocharianB,83_ashes,AB taur  (L?),AB_taur__(L?),,,Holm2017,,,,
Avestan-83_ashes-1,,Avestan,83_ashes,ātriiəm,ātriiəm,,,Holm2017,,,,
VedicSanskrit-83_ashes-2,,VedicSanskrit,83_ashes,(bhásman),(bhásman),,,Holm2017,,,,
Hindi-83_ashes-1,,Hindi,83_ashes,rākh,rākh,,,Holm2017,,,,
Russian-27_bark-1,,Russian,27_bark,kora,kora,,,Holm2017,,,,
Italian-27_bark-1,,Italian,27_bark,corteccia,corteccia,,,Holm2017,,,,
Latin-27_bark-1,,Latin,27_bark,cortex,cortex,,,Holm2017,,,,
Lithuanian-27_bark-1,,Lithuanian,27_bark,žievė,žievė,,,Holm2017,,,,
OldIcelandic-27_bark-1,,OldIcelandic,27_bark,borkr,borkr,,,Holm2017,,,,
Bokmal-27_bark-1,,Bokmal,27_bark,bark,bark,,,Holm2017,,,,
OldIrish-27_bark-1,,OldIrish,27_bark,[rúsc],[rúsc],,,Holm2017,,,,
ModernIrish-27_bark-1,,ModernIrish,27_bark,[rúsc],[rúsc],,,Holm2017,,,,
Russian-27_bark-2,,Russian,27_bark,"(SHr,R lub)","(SHr,R_lub)",,,Holm2017,,,,
Lithuanian-27_bark-2,,Lithuanian,27_bark,(lúoba?),(lúoba?),,,Holm2017,,,,
Albanian-27_bark-1,,Albanian,27_bark,lëvozhgë,lëvozhgë,,,Holm2017,,,,
